0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/ace.min.js HTTP/1.1" 200 49989
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 102051
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 39719
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:50 +0700] "GET /new-jdbc-12-month-2019/ckeditor/ckeditor.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:51 +0700] "GET /new-jdbc-12-month-2019/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 241801
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:52 +0700] "GET /new-jdbc-12-month-2019/admin-new?type=list&page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 13827
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:52 +0700] "GET /new-jdbc-12-month-2019/ckeditor/ckeditor.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:52 +0700] "GET /new-jdbc-12-month-2019/ckeditor/ckeditor.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:54 +0700] "POST /new-jdbc-12-month-2019/admin-new HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:22:56:57 +0700] "GET /new-jdbc-12-month-2019/ckeditor/ckeditor.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:11:38 +0700] "GET /new-jdbc-12-month-2019/admin-new?type=list&page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 13816
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:11:38 +0700] "GET /new-jdbc-12-month-2019/ckeditor/ckeditor.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:11:38 +0700] "GET /new-jdbc-12-month-2019/ckeditor/ckeditor.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:11:40 +0700] "POST /new-jdbc-12-month-2019/admin-new HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:12:30 +0700] "GET /new-jdbc-12-month-2019/admin-new?type=list&page=2&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 12970
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:12:30 +0700] "GET /new-jdbc-12-month-2019/ckeditor/ckeditor.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:12:30 +0700] "GET /new-jdbc-12-month-2019/ckeditor/ckeditor.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:22:52 +0700] "POST /new-jdbc-12-month-2019/admin-new HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:22:56 +0700] "POST /new-jdbc-12-month-2019/admin-new HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:23:03 +0700] "GET /new-jdbc-12-month-2019/admin-new?type=list&page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 13810
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:23:03 +0700] "GET /new-jdbc-12-month-2019/ckeditor/ckeditor.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:23:03 +0700] "GET /new-jdbc-12-month-2019/ckeditor/ckeditor.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:23:20 +0700] "POST /new-jdbc-12-month-2019/admin-new HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:37:45 +0700] "GET /new-jdbc-12-month-2019/admin-new?type=list&page=1&maxPageItem=2&sortName=title&sortBy=desc HTTP/1.1" 200 13810
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:37:45 +0700] "GET /new-jdbc-12-month-2019/ckeditor/ckeditor.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:37:45 +0700] "GET /new-jdbc-12-month-2019/ckeditor/ckeditor.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:37:45 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [24/Nov/2019:23:37:47 +0700] "POST /new-jdbc-12-month-2019/admin-new HTTP/1.1" 200 -
